Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
7,316;108,723;0,357;682,869;0,4472;9,825;0,804;4,998;67,826;40,898;176,918;179,000;1,092;3845,917;20,779;16,312;8,470;13,223;90,043;24,290;0,941;11,823;0,812;7,719;5698488,305;adhesive;3
5,899;102,292;0,436;496,461;0,2480;7,827;0,699;5,737;66,017;36,275;65,666;178,800;0,794;2876,435;17,586;11,059;7,570;11,477;89,520;16,791;0,860;8,827;0,567;6,247;5698488,305;adhesive;3
8,785;150,212;0,534;621,051;0,3714;12,727;1,843;9,298;106,784;43,428;66,303;46,400;0,984;2753,491;22,401;27,492;7,800;14,467;90,370;36,199;0,966;14,431;1,437;8,429;5698488,305;adhesive;3
10,501;170,328;0,538;633,467;0,4411;15,025;1,685;7,454;125,767;44,560;70,731;97,900;1,078;3103,503;23,984;31,903;8,152;17,463;88,317;45,370;1,094;18,498;1,652;10,075;5698488,305;adhesive;3
9,781;138,318;0,492;607,132;0,4276;14,132;1,690;8,116;100,658;37,660;74,449;61,400;1,057;3670,383;22,526;28,972;9,388;16,779;86,908;40,063;1,189;16,360;1,552;9,404;5698488,305;adhesive;3
5,763;94,436;0,720;528,167;0,2651;7,612;0,194;4,627;56,507;37,929;161,156;178,800;0,823;2983,901;17,000;9,348;8,772;10,954;88,066;14,830;0,951;8,466;0,469;6,221;5698488,305;adhesive;3
5,988;84,360;0,529;533,572;0,2787;7,920;0,428;4,426;49,707;34,653;68,283;179,800;0,853;3036,842;17,447;11,227;8,124;11,699;88,459;17,426;0,899;9,071;0,565;6,433;5698488,305;adhesive;3
7,191;118,633;0,555;528,082;0,2575;9,966;1,667;9,131;81,206;37,427;75,108;179,200;0,812;2460,289;20,018;18,371;5,980;14,246;93,002;26,294;0,720;11,468;0,994;7,154;5698488,305;adhesive;3
12,017;145,604;0,670;1036,926;0,9467;15,818;1,197;4,878;92,333;53,271;57,229;103,400;1,635;3161,194;29,977;28,252;7,896;19,357;93,552;43,576;0,986;22,095;1,283;12,121;5698488,305;adhesive;3
7,299;124,559;0,741;744,166;0,5161;9,569;1,036;5,786;82,390;42,169;74,303;179,800;1,186;3696,941;22,080;15,409;5,959;12,816;93,549;23,906;0,735;11,779;0,784;7,728;5698488,305;adhesive;3
