Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
4,934;98,281;0,138;591,389;0,4104;6,382;-0,155;4,196;37,662;60,619;85,889;0,100;1,043;4803,614;15,372;6,725;7,587;9,392;89,150;12,063;0,798;7,158;0,337;5,430;5698488,305;abrasive;1
4,648;67,680;0,125;532,356;0,3111;5,987;-0,027;3,765;31,451;36,228;75,067;2,900;0,892;4560,013;14,317;6,647;6,435;10,095;88,779;11,874;0,715;6,874;0,332;5,169;5698488,305;abrasive;1
6,164;192,317;0,070;618,897;0,3341;8,070;0,439;10,968;148,719;43,598;42,283;5,700;0,931;3074,482;18,604;8,823;8,863;9,204;87,196;14,463;0,981;8,761;0,439;6,958;5698488,305;abrasive;1
6,390;85,160;0,077;670,928;0,3975;8,211;0,148;3,562;48,149;37,011;61,707;4,400;1,029;3555,705;19,219;9,718;7,971;10,858;87,799;16,883;0,941;9,599;0,484;7,174;5698488,305;abrasive;1
5,315;237,132;0,063;599,728;0,3300;7,012;1,426;36,274;190,093;47,040;44,913;5,000;0,935;3379,644;16,642;7,627;7,204;9,775;89,311;13,205;0,808;7,842;0,382;5,865;5698488,305;abrasive;1
4,951;82,924;0,134;527,810;0,2911;6,557;-0,203;4,792;41,155;41,769;92,172;3,600;0,873;3523,694;14,769;7,294;8,756;10,901;89,176;12,736;0,855;7,281;0,363;5,276;5698488,305;abrasive;1
5,003;86,259;0,240;642,332;0,4632;6,555;-0,086;4,408;39,868;46,391;143,694;3,800;1,119;4845,123;15,125;7,397;8,088;10,282;88,871;12,621;0,827;7,317;0,369;5,436;5698488,305;abrasive;1
4,762;79,586;0,137;599,391;0,4207;6,299;-0,212;4,508;40,890;38,697;90,916;1,800;1,058;4918,116;13,897;6,987;8,185;11,436;88,172;12,273;0,831;7,062;0,345;5,120;5698488,305;abrasive;1
4,534;74,236;0,318;555,742;0,3516;5,958;-0,173;4,493;33,310;40,926;186,929;2,200;0,958;4735,722;13,595;6,603;7,543;11,118;89,170;11,737;0,757;6,779;0,326;4,879;5698488,305;abrasive;1
4,429;78,033;0,241;512,974;0,2964;5,793;-0,050;4,184;34,137;43,896;132,069;0,000;0,872;4261,359;13,218;6,611;6,972;11,544;89,119;11,653;0,718;6,714;0,325;4,779;5698488,305;abrasive;1
