Sa;Sz;Str;Spc;Sdr;Sq;Ssk;Sku;Sp;Sv;Sal;Std;Sdq;Spd;Sk;Spk;Svk;Smr1;Smr2;Sxp;Vvv;Vvc;Vmp;Vmc;A;Class;ClassNo.
7,481;123,788;0,960;737,973;0,4180;9,591;-0,281;3,619;46,455;77,333;98,776;117,300;1,058;3302,782;22,944;8,915;11,599;9,423;87,858;17,451;1,258;10,795;0,450;8,341;5698488,305;erosive;2
7,108;119,732;0,953;770,603;0,5135;9,232;-0,220;3,997;58,511;61,221;97,521;0,700;1,178;4013,712;21,526;9,584;11,319;10,058;88,200;17,651;1,202;10,338;0,479;7,807;5698488,305;erosive;2
7,185;104,347;0,803;754,042;0,4487;9,227;-0,076;3,599;52,187;52,161;100,637;0,200;1,099;3560,806;22,125;9,725;10,293;10,317;88,897;17,989;1,113;10,745;0,484;8,003;5698488,305;erosive;2
7,299;138,874;0,787;770,303;0,4831;9,417;-0,303;4,022;76,806;62,068;110,190;0,000;1,144;3612,516;22,158;9,112;11,756;9,473;87,827;17,352;1,235;10,471;0,459;8,116;5698488,305;erosive;2
7,232;94,829;0,935;844,556;0,5758;9,390;-0,245;4,031;49,677;45,151;103,085;100,000;1,259;3908,004;22,300;9,523;12,134;10,155;89,584;17,935;1,203;10,650;0,475;7,868;5698488,305;erosive;2
6,916;93,934;0,631;804,879;0,5423;8,895;-0,259;3,789;40,127;53,807;90,805;66,200;1,220;3876,521;21,395;8,988;10,884;8,620;88,192;16,418;1,153;9,748;0,449;7,709;5698488,305;erosive;2
7,153;108,353;0,875;746,884;0,4410;9,196;-0,151;3,944;53,969;54,384;87,677;180,000;1,085;3529,850;22,617;9,514;10,642;9,331;89,792;17,589;1,113;10,487;0,478;7,930;5698488,305;erosive;2
6,909;127,169;0,784;650,251;0,3337;8,895;-0,091;3,693;62,536;64,633;95,263;178,800;0,934;3108,956;21,212;9,199;10,221;10,254;88,772;17,002;1,100;10,243;0,459;7,659;5698488,305;erosive;2
7,047;105,396;0,911;680,123;0,3500;9,087;-0,293;3,816;42,789;62,607;99,093;90,000;0,964;2954,352;21,634;8,788;11,426;9,261;88,222;16,727;1,204;10,080;0,442;7,782;5698488,305;erosive;2
7,254;144,554;0,928;716,002;0,4081;9,476;-0,349;4,548;58,635;85,919;95,051;180,000;1,043;3450,526;21,548;9,657;12,097;9,807;87,234;17,480;1,282;10,317;0,483;7,982;5698488,305;erosive;2
7,330;100,752;0,734;750,222;0,4430;9,516;-0,347;4,141;44,105;56,648;101,172;97,600;1,092;3462,662;22,105;9,226;12,165;9,891;88,100;17,503;1,241;10,607;0,462;8,141;5698488,305;erosive;2
7,227;130,471;0,678;832,245;0,5861;9,277;-0,012;3,704;49,492;80,980;81,344;0,000;1,266;4076,327;22,413;9,927;9,919;10,451;89,237;18,368;1,102;10,866;0,494;8,006;5698488,305;erosive;2
7,222;151,246;0,893;869,118;0,6301;9,386;0,340;5,702;91,091;60,155;93,983;180,000;1,315;4082,659;22,141;10,457;9,649;10,730;89,070;18,137;1,074;10,880;0,522;8,042;5698488,305;erosive;2
7,023;98,875;0,920;820,197;0,5704;8,976;-0,314;3,617;43,662;55,212;98,072;90,000;1,256;3949,865;21,734;7,909;10,895;8,925;88,057;15,879;1,157;10,073;0,400;7,944;5698488,305;erosive;2
7,672;139,412;0,844;759,614;0,4691;10,090;-0,248;4,629;78,683;60,729;100,854;180,000;1,125;3630,105;23,071;10,534;13,395;10,441;88,805;18,978;1,338;11,182;0,525;8,260;5698488,305;erosive;2
7,990;147,827;0,892;758,339;0,4679;10,494;-0,482;4,622;60,608;87,220;95,760;79,000;1,122;3545,856;24,172;9,900;14,913;9,899;88,711;19,056;1,451;11,487;0,496;8,620;5698488,305;erosive;2
8,021;103,746;0,883;682,634;0,3593;10,261;-0,252;3,588;53,194;50,552;113,853;180,000;0,975;3070,437;24,423;9,852;12,174;9,113;87,525;18,720;1,307;11,442;0,496;9,073;5698488,305;erosive;2
7,514;135,250;0,809;703,297;0,4056;10,029;-0,773;6,741;62,374;72,875;119,519;172,800;1,043;3427,485;22,571;9,281;13,785;9,805;88,218;17,613;1,373;10,721;0,465;8,155;5698488,305;erosive;2
7,122;123,226;0,805;741,249;0,4603;9,190;-0,340;4,416;45,822;77,404;91,288;43,000;1,116;3688,675;22,001;8,507;11,193;9,886;88,783;16,874;1,179;10,440;0,426;7,892;5698488,305;erosive;2
7,456;115,585;0,845;726,757;0,4228;9,481;-0,084;3,500;52,529;63,056;97,700;89,500;1,065;3391,076;23,649;9,239;10,391;9,596;89,719;18,006;1,131;11,058;0,463;8,330;5698488,305;erosive;2
7,027;123,791;0,784;755,422;0,4501;9,140;0,222;4,476;64,773;59,018;119,245;179,500;1,103;3613,396;21,806;10,992;9,838;10,413;90,266;18,142;1,031;10,508;0,550;7,687;5698488,305;erosive;2
6,942;105,028;0,945;814,899;0,5500;8,860;-0,194;3,715;54,629;50,399;86,798;90,000;1,228;3909,060;22,089;8,276;10,222;8,982;89,279;16,162;1,114;10,110;0,418;7,720;5698488,305;erosive;2
7,668;168,727;0,827;761,350;0,4500;9,996;-0,161;4,732;104,652;64,074;109,197;110,000;1,099;3546,207;23,204;9,711;13,146;10,360;88,566;18,361;1,346;11,210;0,483;8,312;5698488,305;erosive;2
7,757;139,747;0,796;723,593;0,4106;10,241;-0,006;4,610;71,160;68,587;106,963;180,000;1,044;3366,980;23,293;12,238;12,610;10,315;88,607;19,990;1,322;11,258;0,612;8,288;5698488,305;erosive;2
7,281;111,150;0,834;783,055;0,5031;9,343;-0,164;3,614;56,121;55,029;93,403;180,000;1,167;3770,638;22,107;9,385;10,772;9,782;87,678;17,444;1,179;10,583;0,470;8,181;5698488,305;erosive;2
7,075;99,118;0,778;705,933;0,4029;9,054;-0,127;3,638;42,054;57,064;98,797;0,400;1,035;3428,364;22,015;9,192;10,028;9,865;88,907;17,327;1,098;10,475;0,460;7,915;5698488,305;erosive;2
7,328;100,410;0,856;691,301;0,3660;9,397;-0,326;3,764;51,154;49,256;111,377;74,100;0,987;3112,825;22,786;8,103;11,569;9,390;88,497;16,771;1,229;10,649;0,409;8,186;5698488,305;erosive;2
7,816;118,073;0,894;719,867;0,3963;10,032;-0,242;3,853;49,803;68,271;114,794;0,000;1,029;3155,917;24,363;9,642;11,815;9,397;88,574;18,603;1,293;11,356;0,486;8,659;5698488,305;erosive;2
6,604;93,824;0,773;615,015;0,2892;8,486;-0,199;3,641;46,309;47,515;113,583;180,000;0,871;2743,465;20,411;8,356;10,518;9,528;88,872;15,856;1,084;9,583;0,419;7,327;5698488,305;erosive;2
6,876;100,026;0,874;678,666;0,3599;8,937;-0,370;4,005;43,668;56,358;97,614;48,200;0,981;3093,653;20,549;8,442;11,739;9,802;87,308;16,078;1,244;9,801;0,423;7,554;5698488,305;erosive;2
7,605;99,103;0,774;696,142;0,3783;9,936;-0,323;4,030;43,367;55,736;110,339;180,000;1,002;3237,528;22,732;9,887;13,415;10,779;88,545;18,810;1,339;11,215;0,488;8,241;5698488,305;erosive;2
6,991;90,655;0,807;717,093;0,3915;9,016;-0,173;3,794;43,302;47,353;86,188;180,000;1,022;3261,273;21,607;9,271;10,593;9,892;88,952;17,313;1,124;10,280;0,464;7,737;5698488,305;erosive;2
7,230;117,588;0,869;706,629;0,3758;9,366;-0,314;3,898;63,401;54,186;105,878;161,700;1,001;3134,283;22,123;8,902;12,256;9,986;88,803;17,329;1,241;10,556;0,445;7,931;5698488,305;erosive;2
7,407;154,591;0,723;738,382;0,4400;9,655;-0,189;3,999;48,240;106,351;100,011;0,200;1,087;3505,402;22,298;10,332;12,391;10,340;88,610;18,439;1,254;10,850;0,515;8,071;5698488,305;erosive;2
7,479;165,934;0,752;735,988;0,4515;10,211;0,762;11,720;113,476;52,458;94,505;93,100;1,101;3588,948;21,856;12,242;12,415;10,568;87,986;18,471;1,275;10,757;0,615;8,047;5698488,305;erosive;2
